product_id|key|value
1|Laptop|TRUE
1|Display|17.3” (43.9cm)
1|Resolution|FHD (1920 x 1080) FHD IPS 144Hz 250 cd/m²
1|Processor|Intel® Core™ i7-11600H Hexa-Core (6 Core™ 4.60 GHz 18 MB CACHE)
1|Graphics|Nvidia® GeForce RTX™ 3050 4GB GDDR6
1|RAM|16 GB DDR4 3200MHz
1|Disk (storage)|512GB PCIE NVME M.2 SSD
1|Without an operating system|TRUE
1|WiFi IEEE 802.11AX|TRUE
1|Bluetooth 5.1|TRUE
1|HD Web Cam|TRUE
1|Speakers x2|TRUE
1|Microphones X2|TRUE
1|Plugins|TRUE
1|HDMI X1|TRUE
1|Network (RJ-45) x1|TRUE
1|Audio Line Out|TRUE
1|USB X4|TRUE
1|Red Backlight|TRUE
1|Battery|57Wh Lithium Polymer (Li-Polymer)
1|Time of work|up to 8h
1|180W AC Adapter|TRUE
2|Laptop|TRUE
2|Display|15.6” (39.6cm)
2|Resolution|(1920 x 1080) FHD Acer ComfyView LED LCD
2|Processor|AMD RYZEN™ 5 7520U
2|Graphics|AMD Radeon™ Graphics
2|RAM|16GB LPDDR5
2|Disk (storage)|512GB PCIE NVME SSD
2|Wifi6+bt|TRUE
2|Camera|HD tnr
2|Plugins|TRUE
2|1 x HDMI|TRUE
2|2 x USB 3.2 Gen 1 Tipe-A|TRUE
2|1 x USB 3.2 Gen 2 Tipe-C|TRUE
2|Built -in microphone|TRUE
2|Number of speakers|x2
2|Without an operating system|TRUE
2|Battery|50Wh Li-ion
3|Laptop|TRUE
3|Display|15.6” (39.6cm)
3|Resolution|(1920 x 1080) FHD
3|Processor|Ryzen 3 7320u 2.40GHz
3|Graphics|AMD Radeon™ Graphics
3|RAM|8GB LPDDR5
3|Disk (storage)|512GB PCIE NVME SSD
3|LAN|IEEE 802.11 A/B/G/N/AC/AX
3|Gigabit Ethernet|TRUE
3|Bluetooth 5.1|TRUE
3|Plugins|TRUE
3|1 x HDMI|TRUE
3|2 x USB 3.2 Gen 1 Tipe-A|TRUE
3|1 x USB 3.2 Gen 2 Tipe-C|TRUE
3|Built -in microphone|TRUE
3|Number of speakers|x2
3|Without an operating system|TRUE
3|Battery|42Wh Li-Polymer
3|Power power|45W
4|Laptop|TRUE
4|Display|15.6” (39.4 cm)
4|Resolution|(1920 x 1080) FHD IPS Slimbezel
4|Processor|Intel® Core™ i3-1115g4
4|Graphics|NVIDIA® GEFORCE® MX450 2GB GDDR5
4|RAM|8GB DDR4
4|Disk (storage)|256GB PCIE NVME SSD
4|Without an operating system|TRUE
4|Wireless|2x2 AX+BT
4|Camera|HD camera with 2mic.
4|Battery|48Wh Li-ion
4|Charger|65W
5|Laptop|TRUE
5|Display|15.6” (39.6 cm)
5|Resolution|(1920 x 1080) FHD IPS Slimbezel
5|Processor|Intel® Core™ i5-12450h
5|Graphics|Intel® UHD Graphics
5|RAM|16GB LPDDR4
5|Disk (storage)|512GB PCIE NVME SSD
5|Without an operating system|TRUE
5|2x2 AX+BT|TRUE
5|HD TNR Camera|TRUE
5|Battery|50Wh Li-ion battery
5|Charger|90W
6|Laptop|TRUE
6|Display|15.6” (39.6cm)
6|Resolution|(1920 x 1080) FHD IPS Slimbezel
6|Processor|Intel® Core™ i7-1260p (12C 16T Max Turbo Frequency 4.70 GHz Cache 18 MB)
6|Graphics|Nvidia® GeForce RTX™ 2050 4GB GDDR6
6|RAM|16 GB DDR4 3200MHz
6|Disk (storage)|512GB PCIE NVME SSD
6|Acer PBA Fingerprint Reader|TRUE
6|Gigabit Ethernet|TRUE
6|Wireless|IEEE 802.11AX + BT
6|HD TNR Camera|TRUE
6|Without an operating system|TRUE
6|Battery|50Wh Li-ion
6|Adapter|90W
7|Laptop|TRUE
7|Display|15.6” (39.6 cm)
7|Resolution|(1920 x 1080) FHD IPS Slimbezel
7|Processor|Intel® Core™ i7-12650h
7|Graphics|Intel® UHD Graphics
7|RAM|32GB LPDDR4
7|Disk (storage)|512GB PCIE NVME SSD
7|Without an operating system|TRUE
7|2x2 AX+BT|TRUE
7|HD TNR Camera|TRUE
7|Battery|50Wh Li-ion battery
7|Charger|90W
8|Laptop|TRUE
8|Display|15.6” (39.6cm)
8|Resolution|(1080x1920) FHD IPS Slimbezel
8|Processor|Intel® Core™ i7-12650h
8|Graphics|Intel Uhd Graphics
8|RAM|16 GB DDR4
8|Disk (storage)|512GB PCIE NVME SSD
8|Without an operating system|TRUE
8|WiFi 2x2 AX+BT|TRUE
8|Camera|HD TNR Camera
8|Battery|50Wh Li-ion battery
8|Charger|90W
9|Laptop|TRUE
9|Display|15.6” (39.6cm)
9|Resolution|(1920 x 1080) FHD IPS Slimbezel
9|Processor|Intel® Core™ i5-1240p (12C 16T Max Turbo Frequency 4.40 GHz Cache 12 MB)
9|Graphics|Nvidia® GeForce RTX™ 2050 4GB GDDR6
9|RAM|16GB DDR4
9|Disk (storage)|512GB PCIE NVME SSD
9|LAN|IEEE 802.11 A/B/G/N/AC/AX
9|Gigabit Ethernet|TRUE
9|Wireless|Wi-Fi 6 AX + BT
9|Acer PBA Fingerprint Reader|TRUE
9|HD TNR Camera|TRUE
9|Without an operating system|TRUE
9|Battery|50Wh Li-ion
9|Adapter|90W
10|Laptop|TRUE
10|Display|15.6” (39.6cm)
10|Resolution|(1920 x 1080) FHD IPS 144 Hz
10|Processor|Intel® Core™ i5-12450h processor octa-core 3.30GHz 12MB CACHE
10|Graphics|Nvidia® GeForce RTX™ 2050 4GB GDDR6
10|RAM|8GB DDR4
10|Built -in speakers X2|TRUE
10|Disk (storage)|512GB PCIE NVME SSD
10|LAN|IEEE 802.11AX
10|Bluetooth|5.1
10|Fingerprint Reader|TRUE
10|Built -in microphone|TRUE
10|Plugins|X1 HDMI X3 USB 3.2 Gen 1 Type-A X1 USB 3.2 Gen 2 Type-C X1 Network (RJ-45)
10|Keyboard backlight|TRUE
10|Without an operating system|TRUE
10|Battery|5.5h 3-Cell Lithium Ion (Li-ion)
10|Adapter|135W
11|Laptop|TRUE
11|Display|15.6” (39.6cm)
11|Resolution|(1920 x 1080) FHD IPS 144 Hz
11|Processor|Intel® Core™ i7-12650H 10C 16T 4.70GHz 24MB CACHE
11|Graphics|Nvidia® GeForce RTX™ 2050 4GB GDDR6
11|RAM|16GB DDR4
11|Disk (storage)|512GB PCIE NVME SSD
11|Built -in speakers X2|TRUE
11|LAN|IEEE 802.11AX
11|Bluetooth|5.1
11|Fingerprint Reader|TRUE
11|Built -in microphone|TRUE
11|Plugins|X1 HDMI X3 USB 3.2 Gen 1 Type-A X1 USB 3.2 Gen 2 Type-C X1 Network (RJ-45)
11|Keyboard backlight|TRUE
11|Without an operating system|TRUE
11|Battery|5.5h 3-Cell Lithium Ion (Li-ion)
11|Adapter|135W
12|Laptop|TRUE
12|Display|15.6” (39.4 cm)
12|Resolution|(1920 x 1080) FHD IPS Slimbezel
12|Processor|Intel® Core™ i3-1115g4
12|Graphics|Nvidia® GeForce® MX350 2GB GDDR5
12|RAM|8GB DDR4
12|Disk (storage)|256GB PCIE NVME SSD
12|Without an operating system|TRUE
12|Wireless|2x2 AX+BT
12|Camera|HD camera with 2mic.
12|Battery|48Wh Li-ion
12|Charger|65W
13|Laptop|TRUE
13|Display|15.6” (39.6 cm)
13|Resolution|(1920 x 1080) FHD IPS Slimbezel
13|Processor|Intel® Core™ i7-1165g7
13|Graphics|Intel® Graphics
13|RAM|16GB DDR4
13|Disk (storage)|512GB PCIE NVME SSD
13|Without an operating system|TRUE
13|Wireless|802.11ac + bt
13|Camera|HD camera with 2mic.
13|Battery|36Wh Li-ion
13|Charger|45W
14|Web camera|TRUE
14|Resolution|(1920x1080)
14|Lenses|1/2.9”
14|Format|MJPG Yuy2
14|Compatible|7/8.1/10
14|Frames Per Second (FPS)|30
15|Laptop|TRUE
15|Display|15.6” (39.6cm)
15|Resolution|(1920 x 1080) FHD IPS 144Hz
15|Processor|Intel® Core i5-11400h 2.70 GHz Hexa-Core
15|Graphics|Nvidia® GeForce RTX 3050 4GB
15|RAM|8GB DDR4
15|Disk (storage)|512GB SSD
15|LAN|IEEE 802.11 A/B/G/N/AC/AX
15|Gigabit Ethernet|TRUE
15|Bluetooth 5.2|TRUE
15|Microphone|TRUE
15|Operating system|Uefi shell
15|Gates|HDMI USB LAN Type C
15|Battery|4-Cell (Li-ion)-8h
16|Delivery deadline|5-20 days
16|Volume|200 x 200 x 200
16|Complete aluminum construction|TRUE
16|Print speed|up to 100mm / s
16|Print precision|0.10
16|Max temperature on the head|260°C.
16|Max temperature on the platform|120°C.
16|Filament diameter|1.75 mm
16|Nozzle diameter|0.4 mm
16|Supported drawing format|Stl
16|Compatible files|3MF .Stl .obj g-code
16|Technology|FDM
16|WiFi/ USB|TRUE
17|Laptop|TRUE
17|Display|15.6” (39.6 cm)
17|Resolution|(1920 x 1080) FHD LED
17|Processor|AMD RYZEN™ 3 7320U
17|Graphics|AMD Radeon™ Graphics
17|RAM|8GB SO-DIMM DDR5
17|Disk (storage)|512GB PCIE NVME SSD
17|Without an operating system|TRUE
17|Wireless|802.11a/b/g/n
17|Bluetooth|5.2
17|HD audio|TRUE
17|Plugins|HDMI Audio exit USB - c
18|Filter material with advanced 3M ™|TRUE
18|Helps holders breathe easily through a more comfortable respirator|TRUE
18|Unique design with 3 panels|TRUE
18|Provides greater facial movements during speech|TRUE
18|Reduces the blurring of the glasses|TRUE
18|FFP2 protection - Protection from dust and fog in a wide range|TRUE
19|Laptop|TRUE
19|Display|15.6” (39.6 cm)
19|Resolution|(1920 x 1080) FHD IPS COMFYVIEW LED LCD
19|Processor|Intel® Core™ i5-1135g7
19|Graphics|Intel® Graphics
19|RAM|8GB DDR4
19|Disk (storage)|512GB PCIE NVME SSD
19|Windows 11 Home Single Language|TRUE
19|Wireless|802.11ac + bt
19|Camera|HD camera with 2mic.
19|Battery|36Wh Li-ion
19|Charger|45W
20|Display|15.6” (39.6 cm)
20|Resolution|(1920 x 1080) FHD Acer ComfyView LED LCD
20|Processor|AMD RYZEN™ 5 7520U
20|Graphics|AMD Radeon™ Graphics
20|RAM|16GB LPDDR5
20|Disk|512GB PCIE NVME SSD
20|Operating system|false
20|Wireless|2x2 AX+BT
20|Camera|HD TNR Camera
20|Battery|40Wh Li-ion
20|Charger|45W
21|Laptop|TRUE
21|Display|15.6” (39.4 cm)
21|Resolution|(1920 x 1080) FHD IPS Slimbezel
21|Processor|Intel® Core™ i3-1115g4
21|Graphics|Nvidia® GeForce® MX350 2GB GDDR5
21|RAM|8GB DDR4
21|Disk (storage)|256GB PCIE NVME SSD
21|Without an operating system|TRUE
21|Wireless|2x2 AX+BT
21|Camera|HD camera with 2mic.
21|Battery|48Wh Li-ion
21|Charger|65W
22|Monitor|TRUE
22|Screen|24” (60.9cm) FHD wled
22|Resolution|1920x1080
22|VA panel|TRUE
22|Flat|TRUE
22|Aspect Ratio|16: 9
22|Contrast ratio static|3 000: 1
22|Reaction time|1ms
22|Refresh rate|165Hz
22|Supported colors|16.7m
22|Angle of visibility|178°/178°
22|Fresync premium|TRUE
22|HDMI|TRUE
22|Displayport|TRUE
23|Mouse pad|TRUE
23|Size|29x22x3mm
24|Mousepad|TRUE
24|Color|black with red
24|Dimensions|300x700x3mm
25|Smart Prod.cable|TRUE
25|Connection|Wi-Fi IEEE 802.11 b/g/n
25|Input|AC 100–240 V 50/60 Hz
25|Cable length|3 m
25|Frequency|2.412-2.484 GHz
25|Power|2400 w
25|Plugins|6
25|Application|Smart Life”for iOs and Android
25|Compatible|Android 4.1 iOS 9.0
25|USB port|4
25|Timer|TRUE
26|Keyboard|TRUE
26|USB connection|TRUE
26|Cable length|1.5m
27|Laptop|TRUE
27|Display|16” (40.6 cm)
27|Resolution|3.2k OLED DCI-P3 100% 120Hz
27|Processor|AMD RYZEN™ 7 7840HS
27|Graphics|Nvidia® GeForce RTX™ 4050 6GB DDR6
27|RAM|32 GB LPDDR5
27|Disk (storage)|1024GB PCIE NVME SED SSD
27|Operating system|Windows 11 Pro
27|Wifi6e+bt|TRUE
27|Camera|FHD USB camera
27|Battery|76Wh Li-ion battery
27|Charger|3-Pin 135W AC Adapter
28|Mousepad|TRUE
28|Addison|TRUE
28|Rampage|TRUE
28|300350|TRUE
28|350x250x1mm|TRUE
29|SCART TO 3 RCA adapter|TRUE
30|Smart Prod.cable|TRUE
30|Connection|Wi-Fi IEEE 802.11 b/g/n
30|Input|AC 100–240 V 50/60 Hz
30|Cable length|3 m
30|Frequency|2.412-2.484 GHz
30|Power|2400 w
30|Plugins|3
31|Laptop|TRUE
31|Display|16” (40.6cm)
31|Resolution|3.2k OLED DCI-P3 100% 120Hz
31|Processor|Intel® Core™ i7-1355u
31|Graphics|Intel® Iris® XE Graphics
31|RAM|16 GB LPDDR5
31|Disk (storage)|512GB PCIE NVME SSD
31|Without an operating system|TRUE
31|Wifi6e+bt|TRUE
31|Camera|QHD camera
31|Battery|50Wh Li-ion battery
31|Charger|65W Typec WM Adapter
32|Mousepad|TRUE
32|Size|32x27x3mm
33|Laptop|TRUE
33|Display|14.0” (35.5cm)
